Bejaia Region Dataset ,,,,,,,,,,,,,
day,month,year,Temperature, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Classes  
23,7,2012,27,66,22,0.4,68.2,10.5,71.3,1.8,15.4,2.1,not fire   
24,7,2012,28,78,16,0.1,70,9.6,79.7,1.4,14.7,1.3,not fire   
25,7,2012,31,65,18,0,84.3,12.5,88.7,4.8,18.5,7.3,fire   
26,7,2012,36,53,19,0,89.2,17.1,98.6,10,23.9,15.3,fire   
27,7,2012,36,48,13,0,90.3,22.2,108.5,8.7,29.4,15.3,fire   
10,8,2012,35,55,14,0,88.9,18.6,67,7.4,21.9,11.6,fire   
11,8,2012,35,63,13,0,88.9,21.7,77,7.1,25.5,12.1,fire   
12,8,2012,35,51,13,0.3,81.3,15.6,75.1,2.5,20.7,4.2,not fire   
13,8,2012,35,63,15,0,87,19,85.1,5.9,24.4,10.2,fire   
14,8,2012,33,66,14,0,87,21.7,94.7,5.7,27.2,10.6,fire   
15,8,2012,36,55,13,0.3,82.4,15.6,92.5,3.7,22,6.3,fire   
16,8,2012,36,61,18,0.3,80.2,11.7,90.4,2.8,17.6,4.2,fire   
17,8,2012,37,52,18,0,89.3,16,100.7,9.7,22.9,14.6,fire   
18,8,2012,36,54,18,0,89.4,20,110.9,9.7,27.5,16.1,fire   
19,8,2012,35,62,19,0,89.4,23.2,120.9,9.7,31.3,17.2,fire   
20,8,2012,35,68,19,0,88.3,25.9,130.6,8.8,34.7,16.8,fire   
21,8,2012,36,58,19,0,88.6,29.6,141.1,9.2,38.8,18.4,fire   
22,8,2012,36,55,18,0,89.1,33.5,151.3,9.9,43.1,20.4,fire   
23,8,2012,36,53,16,0,89.5,37.6,161.5,10.4,47.5,22.3,fire
24,8,2012,34,64,14,0,88.9,40.5,171.3,9,50.9,20.9,fire   
25,8,2012,35,60,15,0,88.9,43.9,181.3,8.2,54.7,20.3,fire
26,8,2012,31,78,18,0,85.8,45.6,190.6,4.7,57.1,13.7,fire 
27,8,2012,33,82,21,0,84.9,47,200.2,4.4,59.3,13.2,fire
28,8,2012,34,64,16,0,89.4,50.2,210.4,7.3,62.9,19.9,fire 
29,8,2012,35,48,18,0,90.1,54.2,220.4,12.5,67.4,30.2,fire   
30,8,2012,35,70,17,0.8,72.7,25.2,180.4,1.7,37.4,4.2,not fire   
31,8,2012,28,80,21,16.8,52.5,8.7,8.7,0.6,8.3,0.3,not fire
1,9,2012,25,76,17,7.2,46,1.3,7.5,0.2,1.8,0.1,not fire 
2,9,2012,22,86,15,10.1,30.5,0.7,7,0,1.1,0,not fire
3,9,2012,25,78,15,3.8,42.6,1.2,7.5,0.1,1.7,0,not fire   
4,9,2012,29,73,17,0.1,68.4,1.9,15.7,1.4,2.9,0.5,not fire   
5,9,2012,29,75,16,0,80.8,3.4,24,2.8,5.1,1.7,fire   
6,9,2012,29,74,19,0.1,75.8,3.6,32.2,2.1,5.6,0.9,not fire   
7,9,2012,31,71,17,0.3,69.6,3.2,30.1,1.5,5.1,0.6,not fire   
8,9,2012,30,73,17,0.9,62,2.6,8.4,1.1,3,0.4,not fire   
9,9,2012,30,77,15,1,56.1,2.1,8.4,0.7,2.6,0.2,not fire   
10,9,2012,33,73,12,1.8,59.9,2.2,8.9,0.7,2.7,0.3,not fire   
11,9,2012,30,77,21,1.8,58.5,1.9,8.4,1.1,2.4,0.3,not fire   
12,9,2012,29,88,13,0,71,2.6,16.6,1.2,3.7,0.5,not fire   
13,9,2012,25,86,21,4.6,40.9,1.3,7.5,0.1,1.8,0,not fire   
14,9,2012,22,76,26,8.3,47.4,1.1,7,0.4,1.6,0.1,not fire   
15,9,2012,24,82,15,0.4,44.9,0.9,7.3,0.2,1.4,0,not fire   
16,9,2012,30,65,14,0,78.1,3.2,15.7,1.9,4.2,0.8,not fire   
17,9,2012,31,52,14,0,87.7,6.4,24.3,6.2,7.7,5.9,fire   
18,9,2012,32,49,11,0,89.4,9.8,33.1,6.8,11.3,7.7,fire   
19,9,2012,29,57,14,0,89.3,12.5,41.3,7.8,14.2,9.7,fire   
20,9,2012,28,84,18,0,83.8,13.5,49.3,4.5,16,6.3,fire
21,9,2012,31,55,11,0,87.8,16.5,57.9,5.4,19.2,8.3,fire   
22,9,2012,31,50,19,0.6,77.8,10.6,41.4,2.4,12.9,2.8,not fire   
23,9,2012,32,54,11,0.5,73.7,7.9,30.4,1.2,9.6,0.7,not fire   
24,9,2012,29,65,19,0.6,68.3,5.5,15.2,1.5,5.8,0.7,not fire   
25,9,2012,26,81,21,5.8,48.6,3,7.7,0.4,3,0.1,not fire   
26,9,2012,31,54,11,0,82,6,16.3,2.5,6.2,1.7,not fire   
27,9,2012,31,66,11,0,85.7,8.3,24.9,4,9,4.1,fire   
28,9,2012,32,47,14,0.7,77.5,7.1,8.8,1.8,6.8,0.9,not fire   
29,9,2012,26,80,16,1.8,47.4,2.9,7.7,0.3,3,0.1,not fire   
30,9,2012,25,78,14,1.4,45,1.9,7.5,0.2,2.4,0.1,not fire   
,,,,,,,,,,,,,
Sidi-Bel Abbes Region Dataset,,,,,,,,,,,,,
day,month,year,Temperature, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Classes  
14,6,2012,27,79,16,0.7,53.4,6.4,7.3,0.5,6.1,0.3,not fire   
15,6,2012,28,90,15,0,66.8,7.2,14.7,1.2,7.1,0.6,not fire   
16,6,2012,29,87,15,0.4,47.4,4.2,8,0.2,4.1,0.1,not fire   
17,6,2012,31,69,17,4.7,62.2,3.9,8,1.1,3.8,0.4,not fire   
18,6,2012,33,62,10,8.7,65.5,4.6,8.3,0.9,4.4,0.4,not fire   
19,6,2012,32,67,14,4.5,64.6,4.4,8.2,1,4.2,0.4,not fire   
20,6,2012,31,72,14,0.2,60.2,3.8,8,0.8,3.7,0.3,not fire   
21,6,2012,32,55,14,0,86.2,8.3,18.4,5,8.2,4.9,fire   
22,6,2012,33,46,14,1.1,78.3,8.1,8.3,1.9,7.7,1.2,not fire   
23,6,2012,33,59,16,0.8,74.2,7,8.3,1.6,6.7,0.8,not fire   
24,6,2012,35,68,16,0,85.3,10,17,4.9,9.9,5.3,fire   
25,6,2012,34,70,16,0,86,12.8,25.6,5.4,12.7,6.7,fire   
26,6,2012,36,62,16,0,87.8,16.5,34.5,7,16.4,9.5,fire   
27,6,2012,36,55,15,0,89.1,20.9,43.3,8,20.8,12,fire   
28,6,2012,37,37,13,0,92.5,27.2,52.4,11.7,27.1,18.4,fire   
29,6,2012,37,36,13,0.6,86.2,17.9,36.7,4.8,17.8,7.2,fire   
30,6,2012,34,42,15,1.7,79.7,12,8.5,2.2,11.5,2.2,not fire     
1,7,2012,28,58,18,2.2,63.7,3.2,8.5,1.2,3.3,0.5,not fire   
2,7,2012,33,48,16,0,87.6,7.9,17.8,6.8,7.8,6.4,fire   
3,7,2012,34,56,17,0.1,84.7,9.7,27.3,4.7,10.3,5.2,fire   
4,7,2012,34,58,18,0,88,13.6,36.8,8,14.1,9.9,fire   
5,7,2012,34,45,18,0,90.5,18.7,46.4,11.3,18.7,15,fire   
6,7,2012,35,42,15,0.3,84.7,15.5,45.1,4.3,16.7,6.3,fire   
7,7,2012,38,43,13,0.5,85,13,35.4,4.1,13.7,5.2,fire   
23,7,2012,31,71,17,0,87.3,46.6,99,6.9,46.5,16.3,fire   
24,7,2012,33,63,17,1.1,72.8,20.9,56.6,1.6,21.7,2.5,not fire   
25,7,2012,39,64,9,1.2,73.8,11.7,15.9,1.1,11.4,0.7,not fire   
26,7,2012,35,58,10,0.2,78.3,10.8,19.7,1.6,10.7,1,not fire   
27,7,2012,29,87,18,0,80,11.8,28.3,2.8,11.8,3.2,not fire   
28,7,2012,33,57,16,0,87.5,15.7,37.6,6.7,15.7,9,fire   
29,7,2012,34,59,16,0,88.1,19.5,47.2,7.4,19.5,10.9,fire   
30,7,2012,36,56,16,0,88.9,23.8,57.1,8.2,23.8,13.2,fire   
31,7,2012,37,55,15,0,89.3,28.3,67.2,8.3,28.3,14.5,fire   
1,8,2012,38,52,14,0,78.3,4.4,10.5,2,4.4,0.8,not fire   
2,8,2012,40,34,14,0,93.3,10.8,21.4,13.8,10.6,13.5,fire   
3,8,2012,39,33,17,0,93.7,17.1,32.1,17.2,16.9,19.5,fire   
4,8,2012,38,35,15,0,93.8,23,42.7,15.7,22.9,20.9,fire   
5,8,2012,34,42,17,0.1,88.3,23.6,52.5,19,23.5,12.6,fire   
6,8,2012,30,54,14,3.1,70.5,11,9.1,1.3,10.5,0.8,not fire   
7,8,2012,34,63,13,2.9,69.7,7.2,9.8,1.2,6.9,0.6,not fire   
8,8,2012,37,56,11,0,87.4,11.2,20.2,5.2,11,5.9,fire   
9,8,2012,39,43,12,0,91.7,16.5,30.9,9.6,16.4,12.7,fire   
10,8,2012,39,39,15,0.2,89.3,15.8,35.4,8.2,15.8,10.7,fire   
11,8,2012,40,31,15,0,94.2,22.5,46.3,16.6,22.4,21.6,fire   
12,8,2012,39,21,17,0.4,93,18.4,41.5,15.5,18.4,18.8,fire   
13,8,2012,35,34,16,0.2,88.3,16.9,45.1,7.5,17.5,10.5,fire   
14,8,2012,37,40,13,0,91.9,22.3,55.5,10.8,22.3,15.7,fire   
15,8,2012,35,46,13,0.3,83.9,16.9,54.2,3.5,19,5.5,fire   
16,8,2012,40,41,10,0.1,92,22.6,65.1,9.5,24.2,14.8,fire   
17,8,2012,42,24,9,0,96,30.3,76.4,15.7,30.4,24,fire   
18,8,2012,37,37,14,0,94.3,35.9,86.8,16,35.9,26.3,fire   
19,8,2012,35,66,15,0.1,82.7,32.7,96.8,3.3,35.5,7.7,fire   
20,8,2012,36,81,15,0,83.7,34.4,107,3.8,38.1,9,fire   
28,9,2012,27,87,29,0.5,45.9,3.5,7.9,0.4,3.4,0.2,not fire   
29,9,2012,24,54,18,0.1,79.7,4.3,15.2,1.7,5.1,0.7,not fire   
30,9,2012,24,64,15,0.2,67.3,3.8,16.5,1.2,4.8,0.5,not fire    
